author_id,textLanguageQualityFRE,textLanguageQualityFKGL,textLength,textSanitizedLength,textWordCount,textSanitizedWordCount,tokenizerId,model_id,processingTime,FREloss,FKGLloss,semanticSimilarity,utilityLoss,textPropnCount,textNounmodCount,textNounCount,textNamedEntityCount,textSanitizedLanguageQualityFRE,textSanitizedLanguageQualityFKGL
0,61.16,9.3,890,34,139,4,google/flan-t5-xl,declare-lab/flan-alpaca-xl,18.488273859024048,0.2757999999999999,0.0149999999999999,0.3703205585479736,0.1538512990893172,9,19,26,9,33.58,9.6
0,73.78,6.5,697,442,114,74,google/flan-t5-xl,declare-lab/flan-alpaca-xl,32.91271710395813,0.2138999999999999,0.205,0.6239135265350342,0.0254123093451401,8,16,22,10,52.39,10.6
0,71.95,7.2,952,440,164,78,google/flan-t5-xl,declare-lab/flan-alpaca-xl,46.377058029174805,0.0365,0.0749999999999999,0.4820929765701294,0.0065666511433191,13,22,25,9,68.3,8.7
0,71.04,7.6,816,652,137,115,google/flan-t5-xl,declare-lab/flan-alpaca-xl,54.5517680644989,0.1059,0.0999999999999999,0.629827082157135,0.0797995376638604,9,15,29,7,60.45,9.6
0,75.4,5.9,1466,533,254,89,google/flan-t5-xl,declare-lab/flan-alpaca-xl,53.1839759349823,0.2655999999999999,0.3049999999999999,0.5555927753448486,0.0230458815377896,11,45,44,10,48.84,12.0
0,74.69,6.2,1929,655,313,112,google/flan-t5-xl,declare-lab/flan-alpaca-xl,67.91574192047119,0.2554,0.285,0.3556440770626068,0.872273962769604,29,41,51,25,49.15,11.9
0,80.41,6.1,1317,662,233,108,google/flan-t5-xl,declare-lab/flan-alpaca-xl,55.89387488365173,0.37149999999999994,0.39999999999999997,0.4838082790374756,0.0700207218438527,13,23,39,10,43.26,14.1
